Date,Close
2009. 08. 11,77.97
2009. 08. 12,77.92
2009. 08. 13,78.12
2009. 08. 14,78.36
2009. 08. 17,78.58
2009. 08. 18,78.47
2009. 08. 19,78.56
2009. 08. 20,78.67
2009. 08. 21,78.42
2009. 08. 24,78.57
2009. 08. 25,78.7
2009. 08. 26,78.75
2009. 08. 27,78.66
2009. 08. 28,78.82
2009. 08. 31,78.97
2009. 09. 01,78.8
2009. 09. 02,78.97
2009. 09. 03,78.83
2009. 09. 04,78.75
2009. 09. 08,78.71
2009. 09. 09,78.84
2009. 09. 10,79.14
2009. 09. 11,79.18
2009. 09. 14,78.88
2009. 09. 15,78.94
2009. 09. 16,78.96
2009. 09. 17,79.19
2009. 09. 18,79.1
2009. 09. 21,79.04
2009. 09. 22,78.94
2009. 09. 23,79.17
2009. 09. 24,79.21
2009. 09. 25,79.46
2009. 09. 28,79.5
2009. 09. 29,79.5
2009. 09. 30,79.5
2009. 10. 01,79.61
2009. 10. 02,79.37
2009. 10. 05,79.49
2009. 10. 06,79.58
2009. 10. 07,79.62
2009. 10. 08,79.59
2009. 10. 09,79.01
2009. 10. 12,79.28
2009. 10. 13,79.34
2009. 10. 14,79
2009. 10. 15,79.02
2009. 10. 16,79.05
2009. 10. 19,79.16
2009. 10. 20,79.32
2009. 10. 21,79.31
2009. 10. 22,79.24
2009. 10. 23,79
2009. 10. 26,78.9
2009. 10. 27,79.18
2009. 10. 28,79.1
2009. 10. 29,79.14
2009. 10. 30,79.47
2009. 11. 02,79.15
2009. 11. 03,79.01
2009. 11. 04,78.99
2009. 11. 05,79.06
2009. 11. 06,79.08
2009. 11. 09,79.24
2009. 11. 10,79.27
2009. 11. 11,79.47
2009. 11. 12,79.56
2009. 11. 13,79.51
2009. 11. 16,79.71
2009. 11. 17,79.69
2009. 11. 18,79.71
2009. 11. 19,79.77
2009. 11. 20,79.73
2009. 11. 23,79.79
2009. 11. 24,79.99
2009. 11. 25,80.15
2009. 11. 27,80.29
2009. 11. 30,80.25
2009. 12. 01,79.89
2009. 12. 02,79.78
2009. 12. 03,79.7
2009. 12. 04,79.37
2009. 12. 07,79.58
2009. 12. 08,79.71
2009. 12. 09,79.63
2009. 12. 10,79.52
2009. 12. 11,79.43
2009. 12. 14,79.36
2009. 12. 15,79.29
2009. 12. 16,79.33
2009. 12. 17,79.55
2009. 12. 18,79.53
2009. 12. 21,79.16
2009. 12. 22,78.99
2009. 12. 23,78.98
2009. 12. 24,78.66
2009. 12. 28,78.49
2009. 12. 29,78.54
2009. 12. 30,78.65
2009. 12. 31,78.59
2010. 01. 04,78.68
2010. 01. 05,78.91
2010. 01. 06,78.88
2010. 01. 07,78.82
2010. 01. 08,78.9
2010. 01. 11,78.93
2010. 01. 12,79.23
2010. 01. 13,79.05
2010. 01. 14,79.24
2010. 01. 15,79.29
2010. 01. 19,79.25
2010. 01. 20,79.44
2010. 01. 21,79.53
2010. 01. 22,79.5
2010. 01. 25,79.39
2010. 01. 26,79.58
2010. 01. 27,79.47
2010. 01. 28,79.5
2010. 01. 29,79.6
2010. 02. 01,79.3
2010. 02. 02,79.35
2010. 02. 03,79.3
2010. 02. 04,79.45
2010. 02. 05,79.58
2010. 02. 08,79.59
2010. 02. 09,79.43
2010. 02. 10,79.25
2010. 02. 11,79.12
2010. 02. 12,79.23
2010. 02. 16,79.33
2010. 02. 17,79.15
2010. 02. 18,79.04
2010. 02. 19,79.04
2010. 02. 22,79.01
2010. 02. 23,79.31
2010. 02. 24,79.41
2010. 02. 25,79.52
2010. 02. 26,79.61
2010. 03. 01,79.46
2010. 03. 02,79.52
2010. 03. 03,79.53
2010. 03. 04,79.59
2010. 03. 05,79.47
2010. 03. 08,79.34
2010. 03. 09,79.39
2010. 03. 10,79.33
2010. 03. 11,79.32
2010. 03. 12,79.35
2010. 03. 15,79.46
2010. 03. 16,79.6
2010. 03. 17,79.62
2010. 03. 18,79.48
2010. 03. 19,79.54
2010. 03. 22,79.62
2010. 03. 23,79.62
2010. 03. 24,79.22
2010. 03. 25,78.97
2010. 03. 26,79.14
2010. 03. 29,78.97
2010. 03. 30,79.13
2010. 03. 31,79.2
2010. 04. 01,78.93
2010. 04. 05,78.47
2010. 04. 06,78.53
2010. 04. 07,78.83
2010. 04. 08,78.79
2010. 04. 09,78.94
2010. 04. 12,79.02
2010. 04. 13,79.18
2010. 04. 14,79.12
2010. 04. 15,79.24
2010. 04. 16,79.41
2010. 04. 19,79.31
2010. 04. 20,79.39
2010. 04. 21,79.45
2010. 04. 22,79.4
2010. 04. 23,79.34
2010. 04. 26,79.3
2010. 04. 27,79.59
2010. 04. 28,79.54
2010. 04. 29,79.57
2010. 04. 30,79.8
2010. 05. 03,79.52
2010. 05. 04,79.75
2010. 05. 05,79.79
2010. 05. 06,80.1
2010. 05. 07,79.9
2010. 05. 10,79.81
2010. 05. 11,79.92
2010. 05. 12,79.7
2010. 05. 13,79.85
2010. 05. 14,80.12
2010. 05. 17,80.13
